round,institute,program,stream,quota,category,seat_type,Predicted_Opening_Rank,Predicted_Closing_Rank
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,9781,10510
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A (PwD),WBJEE Seats,63294,63294
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,2088,2952
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,2882,3691
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,2207,2700
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B (PwD),WBJEE Seats,66692,66701
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,738,1048
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,1073,1763
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1084,1159
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,1540,2154
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1044,1149
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,1332,1979
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,32594,50624
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,57642,62606
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,4683,8205
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,8323,9614
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,8345,9114
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,60259,60979
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,7041,30070
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,31548,33852
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,33141,34163
Round 1,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,1534,2023
Round 2,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,1996,2071
Round 3,Jadavpur University,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,2042,2282
Round 1,Jadavpur University,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,1761,2306
Round 2,Jadavpur University,Civil Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,2244,2464
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,236,333
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,547,569
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,366,755
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,1302,1596
Round 3,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,4164,4416
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,257,430
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,517,644
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,31,66
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,98,219
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,84,98
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,194,260
Round 3,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,175,296
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,2952,4741
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,11936,12374
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,359,1176
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,1211,1758
Round 3,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,1718,1928
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,22271,22457
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,26921,26921
Round 1,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,4538,11551
Round 2,Jadavpur University,Computer Science & Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,18431,19361
Round 1,Jadavpur University,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,439,536
Round 2,Jadavpur University,Computer Science & Engineering - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,763,779
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,2869,2992
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,3382,3658
Round 3,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,3677,3856
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,5585,6392
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,6960,9098
Round 3,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,10387,12850
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,2971,3272
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,3649,3906
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1159,1306
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,1531,2136
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1364,1473
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,2205,2458
Round 3,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1345,1378
Round 3,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,1966,2211
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,61442,61881
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,72123,72336
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,8069,9165
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,9440,10050
Round 3,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,9714,10255
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,74750,77236
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,34458,37380
Round 2,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,43038,45426
Round 1,Jadavpur University,Construction Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,1893,2019
Round 1,Jadavpur University,Construction Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,2189,2252
Round 2,Jadavpur University,Construction Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,2584,2599
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,957,1272
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,1234,1434
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,1790,1877
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,1629,2326
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,2383,2849
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A (PwD),WBJEE Seats,37274,37274
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A (PwD),WBJEE Seats,58840,58840
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,855,1211
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,1281,1550
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,1160,1287
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B (PwD),WBJEE Seats,21715,21715
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B (PwD),WBJEE Seats,35784,35784
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,235,382
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,387,620
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,416,480
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,608,734
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,496,511
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,573,756
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,13023,18302
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,19191,21373
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,1430,3781
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,3627,4607
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,3553,4072
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,63482,70402
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,73044,74417
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,16134,20934
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,22568,24795
Round 1,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,609,862
Round 2,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,852,984
Round 3,Jadavpur University,Electrical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,1121,1166
Round 1,Jadavpur University,Electrical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,802,1024
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,542,833
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,820,930
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,943,1603
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,1717,1979
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,574,820
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,854,1155
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,205,381
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,74,190
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,211,242
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,375,472
Round 3,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,414,504
Round 3,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,357,377
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,8795,10662
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,11527,11907
Round 3,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,12437,13846
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,1027,2311
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,2236,2883
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,31727,32237
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,26884,26998
Round 3,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC (PwD),WBJEE Seats,41696,42197
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,10349,15394
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,17650,18553
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,365,595
Round 2,Jadavpur University,Electronics & Tele-Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,1011,1126
Round 1,Jadavpur University,Electronics & Tele-Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Tuition Fee Waiver,WBJEE Seats,667,774
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,2931,3103
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,3736,3757
Round 3,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,EWS,WBJEE Seats,3891,3919
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,4685,6087
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - A,WBJEE Seats,7420,8428
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,2910,3682
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,3867,4818
Round 3,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,OBC - B,WBJEE Seats,3390,3844
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,1564,2370
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1291,1373
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1479,1550
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,2411,2927
Round 3,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),All India,Open,WBJEE Seats,1411,1570
Round 3,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open,WBJEE Seats,2090,2754
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,60821,61049
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,Open (PwD),WBJEE Seats,70178,70178
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,8156,9737
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,SC,WBJEE Seats,10172,10888
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,27510,34762
Round 2,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,45236,46869
Round 3,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,ST,WBJEE Seats,52901,54165
Round 1,Jadavpur University,Food Technology And Bio Chemical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),Home State,TFW,WBJEE Seats,2280,2600
